model_year, origin,mpg_mean
70,  europe,  25.200000
70,   japan,  25.500000
70,     usa,  15.272727
71,  europe,  28.750000
71,   japan,  29.500000
71,     usa,  18.100000
72,  europe,  22.000000
72,   japan,  24.200000
72,     usa,  16.277778
73,  europe,  24.000000
73,   japan,  20.000000
73,     usa,  15.034483
74,  europe,  27.000000
74,   japan,  29.333333
74,     usa,  18.333333
75,  europe,  24.500000
75,   japan,  27.500000
75,     usa,  17.550000
76,  europe,  24.250000
76,   japan,  28.000000
76,     usa,  19.431818
77,  europe,  29.250000
77,   japan,  27.416667
77,     usa,  20.722222
78,  europe,  24.950000
78,   japan,  29.687500
78,     usa,  21.772727
79,  europe,  30.450000
79,   japan,  32.950000
79,     usa,  23.478261
80,  europe,  37.288889
80,   japan,  35.400000
80,     usa,  25.914286
81,  europe,  31.575000
81,   japan,  32.958333
81,     usa,  27.530769
82,  europe,  40.000000
82,   japan,  34.888889
82,     usa,  29.450000